Innecesaria,MarcaModelo,Rating,RAM,Memoria,TamanoCelular,Cam_Trasera,Cam_Frontal,BateriaCapacidad,Precio
73,"Nexus 6P Special Edit (Gold, 64 )",4.3,3.0,64.0,5.7,35,18.0,3500,42998
74,"OPPO F15 (Lightening Black, 128 )",4.4,8.0,128.0,6.4,48,8.0,3800,18990
75,"Apple iPhone 11 Pro (Gold, 64 )",4.7,8.0,64.0,5.8,35,12.0,3500,106600
76,Dublin D614,,6.0,64.0,4.54,48,,2800,649
77,Karbonn KX23,4.0,6.0,32.0,4.54,48,,1900,1349
78,"LG Q6 (Black, 32 )",4.0,3.0,32.0,5.5,38,5.0,3000,103000
79,"OPPO K1 (Piano Black, 64 )",4.4,6.0,64.0,6.41,48,2.0,3600,18989
80,"Redmi Note 7 Pro (Neptune Blue, 128 )",4.4,6.0,128.0,6.3,48,5.0,3800,17990
81,Nokia 150/150 DS,4.2,4.0,4.0,4.54,48,,1020,1500
82,Kechaoda K112,3.9,6.0,64.0,4.54,48,,3600,1799
83,Itel it5260,,6.0,32.0,4.54,48,32.0,1900,1570
84,"OPPO Reno2 (Ocean Blue, 256 )",4.5,8.0,256.0,6.5,48,8.0,3800,38990
85,Jivi N9030,3.9,1.0,16.0,4.58,48,8.0,3000,1399
86,Inovu A7,3.4,6.0,32.0,4.77,48,,3000,785
87,Easyfone Udaan,4.0,6.0,32.0,4.77,48,,3000,2100
88,"Gee S11 Lite (Gold, 32 )",4.0,4.0,32.0,5.7,38,2.0,3030,9999
89,Nokia 105 Dual Sim 2017,4.2,4.0,4.0,4.5,64,,3500,1149
90,Jivi N300 New,3.9,5.0,32.0,4.54,48,8.0,3000,1049
91,Jivi N300 New,3.9,5.0,32.0,4.54,48,8.0,3000,999
92,Micax X940,3.8,12.0,56.0,4.57,48,10.0,3000,1799
93,Samsung Guru 1200,4.3,,64.0,4.4,64,,3500,1100
94,Samsung Guru FM Plus,4.2,3.0,,,64,,3800,1790
95,Ssky S9007 Rainbow,3.6,6.0,32.0,4.54,64,8.0,2800,1125
96,Samsung Guru Music 2,4.3,,64.0,2.0,64,,3500,1625
97,Q-Tel Q8,3.4,6.0,32.0,4.77,48,8.0,3000,559
98,Ssky S-40 Prime,3.7,6.0,32.0,4.5,64,,3000,749
99,"Redmi K20 Pro (Pearl White, 256 )",4.5,8.0,256.0,6.39,48,13.0,3800,29999
100,"OPPO A3s (Purple, 32 )",4.3,3.0,32.0,6.2,38,2.0,4230,8990
101,"OPPO A83 (Chaagne, 16 )",4.2,2.0,16.0,5.7,38,8.0,3180,9490
102,"OPPO A5s (Black, 32 )",4.3,3.0,32.0,6.2,38,2.0,4230,9490
103,"Vivo Y66 (Crown Gold, 32 )",4.3,3.0,32.0,5.5,38,1.0,3000,14990
104,Micax X772,3.9,4.0,20.0,4.54,48,,3700,1499
105,"Vivo V7 (Gold, 32 )",4.4,4.0,32.0,5.7,48,2.0,3000,18990
106,"Vivo X21 (Black, 128 )",4.2,6.0,128.0,6.28,35,5.0,3200,36990
107,I Kall K3310,3.7,6.0,64.0,4.5,48,,3000,649
108,"Redmi K20 (Pearl White, 64 )",4.5,6.0,64.0,6.39,48,13.0,3800,21999
109,GAMMA K 28,,6.0,32.0,4.5,48,,3000,1099
110,GAMMA K2 no,3.9,6.0,32.0,4.8,48,,3000,940
111,"Samsung Galaxy S20+ (Cosmic Black, 128 )",4.5,8.0,128.0,6.7,64,1.0,4700,77999
112,Karbonn KX1,3.9,6.0,32.0,4.5,48,,3000,899
113,"Redmi K20 (Carbon Black, 128 )",4.5,6.0,128.0,6.39,48,13.0,3800,24999
